UMAP_1,UMAP_2
2.7572281,7.607164
-2.4991539,9.217568
2.7156837,3.9625943
0.34510738,5.90527
4.7635794,5.333697
1.6521372,5.6408644
0.79035735,7.3285723
6.433783,5.8654795
-1.4617031,5.1664324
1.2496947,8.478205
-0.3294991,4.487717
0.9418382,8.717927
2.189083,8.01712
-0.18647705,6.68972
0.703355,5.6931877
1.350198,5.59156
4.2273,3.3723292
1.0749959,9.851584
3.5052173,9.134617
2.4550552,8.804963
-0.18141197,6.5508366
1.017093,6.2595897
0.79541713,6.7475123
-2.4794228,9.197836
1.5968833,7.309612
-0.044898324,6.440298
-1.3766109,5.21241
0.42655385,6.1080694
-0.46484956,6.61323
1.2922883,5.836413
0.28035903,6.463763
-0.4731222,5.61629
1.0777656,6.2843757
-2.516884,8.976188
2.081334,7.1475596
0.86148655,4.493913
-0.21139824,6.361464
1.1225873,6.0816207
2.1490343,7.968706
2.7829118,3.6106026
2.8125596,7.9221377
1.1279758,7.2759466
0.43735674,8.46797
5.2668347,6.5648108
0.7396578,6.7678375
3.4324503,2.7445307
3.0875716,4.3384843
7.9714446,4.0368595
1.7095118,3.3423977
5.826064,5.73833
0.92867464,7.1928577
1.8142126,6.556507
2.271913,3.528802
-2.096634,8.495826
0.04909668,6.3996973
0.8382308,8.912737
0.64667535,6.422622
1.7217878,7.983458
4.793751,6.8895183
0.8730186,6.093259
0.6942306,6.497385
1.0164462,6.019051
1.2257341,5.4709444
-0.5306161,5.669736
-0.42514318,5.862665
-0.2022078,5.886831
-0.30996773,5.76118
1.2698859,5.1509132
-0.029699055,5.517814
0.7255305,5.817878
-0.36805123,5.6588335
0.5289771,6.444292
-0.19970676,5.769073
-0.60775876,5.6969285
1.2360176,6.5962553
1.0447248,6.366899
0.67475706,5.9516244
0.17279406,6.867727
0.65682864,7.1115212
1.0837487,8.822978
1.9308043,6.813622
-2.42453,9.071413
2.7589703,4.6052446
1.6203034,4.854287
1.375777,6.833579
-0.27366248,5.41026
-0.20372131,6.746019
0.31261244,4.7690897
2.762167,7.915628
4.6020823,5.4060774
2.8786035,3.9806473
0.9141101,7.130246
0.8781053,5.410548
1.3369873,8.584516
0.5211845,6.977772
1.6536138,7.901066
1.4351677,7.502278
4.12495,5.774434
2.2944753,6.090511
-2.3929877,8.948333
0.66614145,5.144663
-0.3851275,6.985322
0.5592742,8.22382
1.5476769,6.72017
2.016908,8.1972685
1.0121868,8.045668
2.1628976,8.056434
-1.2550973,5.328327
0.42629963,5.67562
-0.10874732,6.09029
-1.0205122,8.25567
0.5565146,10.159143
-2.3800583,9.321757
-0.107286215,6.0462184
2.1510804,8.213529
1.625323,9.1670475
1.4629837,8.064099
0.043982096,7.3859634
0.6760689,7.647698
3.8409655,4.1456366
0.23770438,7.5233603
-0.12684998,7.997229
0.4754975,6.572552
1.125039,9.131068
0.21352355,5.898625
1.6819098,8.104157
-1.1691245,5.326249
0.17110854,7.0253444
0.25333288,6.863123
0.52583003,6.286305
1.3912421,7.9671884
1.4646531,3.8350432
2.228757,3.3994088
4.7888174,6.8690886
4.5887966,5.4592195
1.2190739,7.4335713
1.6035328,8.920359
-2.1263528,9.596148
0.86913866,6.4338064
0.5018649,6.9937544
0.5752238,5.0331945
-2.3078847,9.22178
1.427865,5.5088873
1.4668956,8.1476965
-0.8336121,7.6710052
1.2439613,5.5461807
-0.34699664,8.290891
0.7052355,5.368246
-0.12075111,8.278202
3.78127,4.306194
0.24772091,6.707427
0.25414968,4.4599376
0.6721213,5.3365808
-1.4901965,5.1363883
2.7273324,7.955919
4.908396,5.542473
-0.5419806,5.5500693
1.198509,2.7395918
0.255734,6.167759
0.77898026,6.627456
4.404592,0.30444476
3.825168,0.6066614
-0.8188529,5.4394608
-2.3887663,8.823458
0.82440645,7.2606335
-0.14303727,5.2585697
-1.3441858,5.242751
-0.5472082,5.5402627
0.46367878,6.4070296
0.0033507957,7.6045904
0.56546783,10.115688
-0.1069374,3.728865
1.0504084,6.774829
-1.0266535,8.073152
4.376738,6.9193377
1.4020132,9.104859
0.5772323,10.450913
-0.94903827,8.288396
-1.3121219,5.0761595
3.5547826,2.0180032
-0.8026712,5.5886326
2.7335687,3.5432472
1.274882,5.2076354
1.1244845,4.745374
7.6419973,3.8167844
2.5089934,4.618647
6.295449,5.523774
-1.5255499,5.113831
1.445532,9.02088
0.89007026,5.19061
1.3807781,7.376931
0.3942399,7.3760605
-0.5032455,6.7677717
-1.5259933,5.1197195
1.4495339,6.686848
1.5311935,7.468655
6.8014426,4.8475404
6.289967,5.4031076
6.695466,4.693443
0.94487303,9.352311
1.1393833,9.226109
-0.31916264,5.6647944
-0.08405336,6.2884927
-0.20606193,5.702478
1.6778586,7.189095
3.110908,2.9444094
-0.13824594,6.334642
0.8612885,6.3854227
1.7682006,3.0287318
1.7253293,4.826978
1.0262264,8.569393
1.5599792,6.6811976
-0.23108709,6.32713
0.2641367,6.1026597
7.2053413,3.7377641
1.9340717,5.5810027
7.3874297,3.3983827
-0.16381082,3.7537317
1.3800508,7.321906
1.0042078,6.6648474
3.9714296,7.9042673
4.9478354,7.0868144
1.5847541,6.1425824
4.904799,6.875319
4.792801,6.239893
4.9742665,6.061608
0.9761589,6.3100834
-0.9514433,7.7881656
1.19422,6.6579595
1.0630282,6.5579333
0.9907026,6.303158
1.0759803,7.254913
1.1230049,5.3617344
