UMAP_1,UMAP_2
2.691074,8.539645
-0.9338349,9.620421
5.4754405,4.920754
2.2953672,4.720007
4.379591,7.46238
3.587744,6.2579265
2.4436185,5.876187
6.9180765,9.365598
2.92871,5.574114
1.3452547,6.972677
3.6470966,3.829074
1.1528527,7.297209
3.9500172,5.2371793
1.4218619,6.031257
2.7550993,5.2621717
2.7718759,5.468341
7.0430255,4.7061405
0.8883853,6.4982834
3.832946,8.384983
4.16988,8.086032
1.748071,5.008693
2.7538335,5.5286617
2.9684927,5.592565
-0.6675715,9.414811
1.4537427,6.162332
2.2350607,4.8520513
2.234437,4.686321
2.5235758,4.880162
-2.3351874,9.374531
3.3538496,6.467108
2.0431557,4.8981724
2.5165458,4.884834
2.9291744,5.771799
-2.4769366,9.591992
3.2272437,7.461362
4.184283,4.0257926
1.975844,5.0329103
2.79924,7.1844707
2.6871016,8.0391245
5.9940195,5.223314
3.2974062,7.8740964
2.1892283,5.6478734
-1.1519148,9.371867
0.98700863,7.997618
2.9217536,5.5450835
8.093296,5.3939004
3.7156081,6.7376733
8.944808,9.286703
4.856591,6.0132084
6.9458046,8.951031
1.836173,7.012872
1.3322294,7.3601446
4.9980536,5.110335
-2.4434927,9.543964
2.551672,4.846942
0.8240327,6.6760845
2.757698,5.501718
1.9450516,7.8740816
1.4776832,7.9589376
3.5252962,6.1419663
2.8362243,5.463711
2.697663,5.423835
3.0121837,5.1299276
2.79395,5.3812766
2.786507,5.124232
3.218972,4.676723
2.0223784,5.092079
3.455439,4.956323
2.9023247,4.715677
2.7712173,4.9049234
2.9692454,5.4149985
2.8627725,5.560822
2.7223418,4.9562426
2.0876062,5.1359024
2.8395495,5.4636664
2.9021144,5.6060014
2.3275433,5.103454
-1.3070593,9.1312475
2.3176959,5.3120313
1.0866386,6.9520245
2.7566872,7.515895
-1.6521573,9.905871
3.40309,6.5773664
2.7276225,7.245095
2.731,5.8417315
2.253799,3.6379864
1.824866,5.047222
2.469184,5.8207736
3.0788727,7.998556
5.221055,7.9519844
3.8489597,3.2217548
2.5606947,5.331075
2.6046803,5.468988
1.2985928,7.1137476
2.301502,5.5633154
1.7891623,6.459451
2.6122258,3.6139703
4.484405,7.7740145
3.1742983,6.964862
-2.106571,9.842552
4.891309,4.7723103
1.8220158,4.6336775
1.9562234,7.200583
3.6237462,5.253264
1.8154328,7.203762
1.614055,6.445578
1.817437,6.4174314
4.494937,7.276589
2.3038337,4.9323506
2.4445004,5.1013684
-1.154035,8.237544
-0.71573704,6.377061
-0.67633206,9.76771
1.2052205,5.8628426
3.2003033,8.110144
1.0706257,7.2997355
-0.17278263,9.644729
2.1574528,7.530382
2.7205317,6.1153083
5.868802,5.8797073
2.4279273,7.414646
2.1771753,7.793703
2.364653,3.5308368
1.1661998,7.259003
2.8550224,4.7952266
1.6764554,6.777092
3.1978717,6.042704
