UMAP_1,UMAP_2
1.6428295,8.005575
-2.366882,9.168657
2.9508586,3.7087173
0.56712174,6.1179175
0.01941041,7.2944636
1.8083681,5.1848826
0.5191621,6.921793
6.3481016,5.797961
-1.5294247,5.217143
1.0934874,7.4529934
-0.16895652,5.219087
1.3754423,8.543048
2.271775,7.5796995
-0.21368045,6.822546
1.6735399,3.9410877
1.8204728,3.1347704
3.5609121,3.6573477
1.9704604,7.6062813
1.786654,7.3685246
1.7926311,6.203982
0.04423356,6.310793
0.97049403,5.4105945
1.4514375,5.2891316
-2.640054,9.266479
1.1685262,7.2962165
-0.025951657,6.51424
-1.5259038,8.052862
0.32616007,5.9240117
-1.7477918,8.283978
1.3065834,5.6943192
-0.087854825,6.2884326
-0.16498947,5.66345
1.1535817,6.55795
-2.4739895,8.978576
1.6817003,6.8169017
0.75127745,4.340454
-0.3066283,6.5098104
2.8467321,4.627124
0.880785,8.09992
3.7307103,3.0172632
2.2099369,7.8594522
1.1658359,7.509926
0.2511743,7.164602
5.125137,6.4534016
0.87241405,5.442202
3.3110292,2.9190276
1.7804265,3.2385917
7.9870334,3.8702416
1.580314,3.2929537
5.6880455,5.5955606
0.7438109,7.28988
1.779317,6.382743
2.4605618,3.3384037
-1.6893096,7.97231
0.20799023,5.9621243
0.9132042,8.682004
0.6267387,5.4893975
-0.047628064,8.362128
4.665318,6.663314
1.0464923,5.356099
0.43947712,5.3484387
0.9530528,5.5597677
1.1391293,5.1016197
1.3305354,5.1302133
0.9489375,5.25703
0.5464827,5.320373
0.80424225,5.40825
1.4767988,5.021253
0.9628124,5.2633386
1.1149833,5.161646
1.3067801,5.1430573
0.66606396,5.4779506
0.3523211,5.332516
-0.07352691,5.4588065
0.9159837,6.829293
0.54967135,6.0354533
1.0173246,5.3856716
0.04877123,6.9237022
0.6859487,6.758749
3.4408789,4.65312
1.932685,2.9402864
-2.59748,8.938055
2.7486007,3.6494532
1.6084309,4.3492274
1.9460652,5.9793897
1.3076403,2.6372814
-0.16143471,6.3934045
0.14022262,4.2486854
2.3320634,7.504981
0.7449725,6.6872463
2.908348,3.9252203
1.0823495,7.239262
1.9683268,4.176272
1.5481616,8.39651
0.81928325,5.7336645
1.4004259,7.800994
1.9908733,2.829571
1.7992435,3.0192382
1.8754791,3.0464847
-2.4265616,8.999977
0.67601573,5.108614
-0.40810892,7.7236824
0.30103323,8.2120075
1.8053399,7.0478163
1.9779503,7.9681373
0.7789909,8.137178
2.199363,8.0987425
-1.4886407,5.120027
-0.06799179,5.4824066
-0.3797848,6.3506107
-1.1959127,8.246326
-0.39615405,6.1168885
-2.5241358,9.161458
0.13223387,6.294196
2.262231,7.9568357
1.3438326,8.835543
0.26999122,8.530469
-0.04535305,7.035941
0.44062012,7.355328
4.253581,3.08612
-0.13288774,8.073401
-0.1365351,7.9616504
1.2398319,2.8325393
0.1531319,8.503722
0.4803909,5.8218913
1.7991621,8.002744
-1.4243276,5.16482
-0.9098965,8.007941
1.1361601,5.27392
0.58048457,6.2020497
1.2915459,7.6312513
1.5343747,3.4521408
2.200017,3.4598148
4.407117,7.000307
1.272572,6.3833156
1.1296706,7.5875425
1.570002,8.8439045
-2.5506032,9.102311
1.0000559,6.4720902
-2.0901701,9.458255
1.3974855,2.965903
-2.6204107,8.9469
1.7175852,3.0083482
1.4492104,6.746435
