UMAP_1,UMAP_2
2.8826413,7.351071
-0.8196194,9.383812
5.997978,5.079337
4.51824,4.616731
2.3995483,7.3920784
3.596725,6.1337996
4.1971045,4.7184443
7.031106,9.272665
4.646607,7.270714
1.5214084,6.717826
3.288655,3.9183018
1.6998535,7.260678
3.84698,5.213844
2.6325214,4.2839174
4.3769193,5.0335197
2.6429045,2.9446092
6.48978,4.8842883
2.3544343,2.9725971
3.658776,7.7879677
3.886753,7.5352044
1.7071047,5.013024
3.6815152,5.9189744
3.3829794,6.0945487
-0.60178405,9.609948
1.3092232,6.357481
2.3397827,4.689044
-1.4260442,8.388222
2.9619575,4.980823
3.6520784,4.5308237
4.0009484,6.0162086
1.9091358,4.9672313
2.9745173,5.17041
3.1985617,5.8871007
-2.238495,9.87616
3.3004253,7.2511435
3.6417093,5.804685
1.8927748,4.862963
5.8549137,5.1652966
2.586919,7.48938
6.612323,4.9222016
2.452132,7.154254
2.029574,5.992195
-0.68750805,8.985082
1.3948457,8.153815
4.5881205,4.694222
6.961194,5.335776
6.0415053,4.91278
9.007903,9.03796
5.537755,4.9598694
7.4547353,8.618577
1.6430498,5.582481
1.5066665,7.102821
5.192493,4.729488
3.0741713,4.5536613
2.900433,4.8964047
1.1728181,6.852375
3.515713,5.7986803
2.1470697,8.239121
3.7340808,9.101932
4.0812163,5.444247
3.378149,5.7641797
4.254209,5.0425396
3.5914462,5.316003
3.5043416,4.854308
3.416665,4.8618026
2.9977784,4.4086437
3.4940805,5.151461
3.587453,5.0722475
3.5777147,4.785389
3.4469388,5.0245094
3.7915127,5.1714673
3.297898,5.7260957
3.3444226,4.820887
2.977833,5.350374
3.034671,5.9144545
3.6408849,5.87854
3.6722982,5.2068634
2.0980997,5.212921
2.3290522,5.546021
6.0796247,5.5890894
2.7377229,2.981143
-1.7659779,9.862167
6.3024483,5.5854197
5.674289,5.4022374
4.1591206,6.243879
2.1469796,3.1297078
1.6712434,4.908904
3.0180068,6.5036483
3.0457006,7.938146
3.1342862,5.7654104
6.0925317,5.2793045
2.3249342,5.7405214
5.0208993,4.8915606
6.290108,4.6070113
4.6779995,5.001732
1.9696685,6.210144
2.3701198,3.0092092
2.4369407,3.0582423
2.727793,3.4571173
-2.1801662,9.769851
5.161994,4.5247107
1.5229508,5.7458506
2.067802,7.148475
4.0023117,4.8885846
2.593926,2.9787042
1.9780216,6.548831
2.5795681,3.4132998
4.7072744,7.263436
2.9315672,5.3976865
3.028753,5.2921367
-1.3054209,8.275193
1.2428775,5.349347
-0.6152029,9.504524
2.4527433,5.0030975
2.636681,2.999618
1.2499759,7.0991435
-0.13428257,9.58068
2.1939297,7.0085998
2.7252994,6.394502
7.457858,4.697717
2.253346,7.5227923
1.9250965,8.014393
2.3878472,2.9975643
1.711106,7.9478703
2.9193666,4.580751
2.596002,3.0817127
4.9524775,7.403058
-2.2798855,9.5443125
3.1684349,5.1953797
2.8224263,4.8233447
1.7899137,6.149638
5.7791033,4.84372
5.462201,4.625933
1.4889175,7.8042083
4.54695,7.4719205
1.2499932,6.646332
1.133595,7.3950596
-1.0572497,9.186864
2.6679294,5.1764526
2.5004437,5.891988
2.422992,3.1654918
-1.0063322,9.868923
4.718447,5.73197
2.866745,6.956268
1.5434693,4.317447
5.1022844,5.403511
1.914353,8.089182
3.8915915,4.4507446
1.9343176,7.9689217
5.5241547,6.351175
2.5239444,4.9756145
3.643658,4.979769
4.1911616,4.8849807
4.924878,7.1934566
3.0191517,7.9537587
2.2573884,3.1447036
4.656027,7.1103587
2.2205527,3.1023192
2.6122556,4.7846675
2.860441,5.094736
4.980835,4.506514
1.8302075,5.34235
4.7706604,7.20112
-1.361978,9.656039
2.0569918,6.826954
3.17738,3.9794347
4.711279,7.3817143
2.8925035,4.1558795
3.9049406,6.1387944
2.2034488,7.117293
0.76121736,6.286256
4.8710995,3.9712372
3.981533,5.057347
-1.2464277,8.242755
1.2293794,7.6222196
0.7637193,7.3568683
3.1657534,5.9983873
-1.3241692,8.259435
5.301485,6.4909625
6.7745547,5.264327
4.796519,7.0117006
6.1228747,5.0236173
3.9126298,5.8386354
3.7982523,4.9395514
8.417106,9.511689
5.3079524,6.813402
7.304258,9.083714
-1.6162999,8.470023
1.3395542,7.248038
3.4888117,6.292732
1.7366399,6.7329216
2.058723,4.5990405
-1.9266132,8.832305
-1.442117,8.381822
3.0482872,7.5389867
2.5360157,3.2192404
8.327149,9.534428
7.2347307,9.315644
8.29311,9.416458
-1.3662657,8.521296
-1.349913,8.491408
3.2767715,5.0406632
1.9368055,4.9829426
3.1735637,5.270772
4.023623,5.2164702
7.697543,4.837724
2.6335928,4.5018754
3.754007,5.8453417
6.213947,4.6068
4.8762417,5.9663377
1.1424651,6.9197164
5.598438,5.176577
1.8861482,4.901602
2.5440247,4.6667776
7.1901355,8.639554
4.31632,6.7568326
8.770037,8.351007
4.7125297,3.6781683
4.0674005,5.061671
4.943712,7.2874055
4.067382,5.0326095
1.0858376,8.101554
3.7699285,5.3152103
1.3095714,7.8439164
2.1744013,7.0447936
4.7589626,8.767174
2.7232912,5.263278
-0.69778824,9.933515
3.4739442,7.0585313
2.6375203,5.1353655
3.3819065,5.5686545
3.3851728,6.2515187
3.8005376,4.9168916
8.424268,9.540369
3.7106745,6.992141
3.2375908,9.176504
2.447982,4.9098215
5.465299,4.6477404
2.271217,7.0245004
7.133222,5.200178
4.8177133,7.709742
2.6245708,5.6938267
4.69229,6.873937
3.8692863,6.8557057
3.3471556,5.746977
-0.4448268,9.836181
-1.1910363,9.765856
2.5849352,7.6138577
2.8488152,4.531888
2.4060733,5.2955637
3.7902792,6.8501453
5.304777,4.3083434
4.5063143,7.4125433
4.772632,3.9574807
3.2946322,5.090651
3.6287322,7.3758783
1.703707,5.074997
4.539296,6.7985835
6.10599,5.415631
4.581577,8.674414
-1.0909839,9.928985
2.8348463,4.476673
1.5715519,6.534792
-1.3002672,8.134856
2.511036,7.862473
0.27419776,6.7589183
3.0132995,7.4835944
2.2318962,8.199356
1.2785244,6.4435496
8.696249,8.384867
3.0714388,6.541215
2.485372,4.017888
3.119859,6.144818
4.194365,6.3588634
1.5745757,4.6464043
2.7064915,8.364994
-1.6446279,8.564187
3.8056965,9.115967
3.5982332,5.950896
2.559634,4.489111
3.2662904,7.4100904
1.7041336,5.2626767
4.703894,7.352961
-0.88857514,7.4940495
2.715813,5.6778164
3.8322868,3.2478378
1.0531534,7.39738
1.0975547,7.797574
4.6275287,7.0202675
2.346157,5.531587
-0.5298166,3.34154
2.199062,6.726255
3.8427727,8.639426
3.1398532,7.2338486
3.2491145,7.378288
1.2322651,7.6949515
4.127079,6.6965327
3.8648818,5.0773892
3.700006,4.9383283
8.782345,9.323771
2.0515716,3.306756
2.7802453,5.1873374
2.454576,7.233086
3.7684114,3.1843266
2.2964914,5.1871986
-1.8090805,9.83901
4.3651557,8.199868
2.067115,6.9744134
1.4776417,7.096627
1.3580099,6.220425
4.6652203,6.710787
3.8859582,5.0366516
1.664475,6.90723
2.0221014,6.3229723
1.6508943,6.2267337
6.0444384,6.434313
3.0239315,4.503781
4.3532295,6.3982086
2.3608918,4.532082
3.4138927,5.3213625
1.1880611,6.8350058
2.4673157,5.4739447
4.9317665,5.161179
4.6888943,7.1557846
4.733928,7.3960376
-2.1526182,8.818242
2.4328468,7.8058367
3.3176804,4.66064
2.7494445,5.385322
-1.0055995,9.7301035
3.263494,6.5143943
1.3277264,6.5259957
-2.1139655,8.875082
8.62909,8.520729
2.2681026,4.675317
2.2829478,6.4526315
-0.49196127,10.029771
0.7841105,7.071273
-1.5797989,8.5430975
2.6854188,5.939384
