UMAP_1,UMAP_2
0.72387177,8.254481
-0.37008858,3.9756274
-0.16290136,6.345881
-1.159664,8.270112
-0.9811876,8.263809
1.5548325,7.172887
2.509491,9.711582
-0.5492367,7.4737725
-0.22078395,9.577816
5.3205876,5.8825088
5.6451964,5.2575483
5.328163,5.898191
3.5325816,3.7158077
0.8174756,10.48414
2.6020696,10.740727
5.2943273,5.862302
1.3146544,7.7968054
1.5104278,2.7793581
2.0525231,7.898582
4.2496033,8.303996
4.228372,8.276553
4.5681252,7.3971267
4.9200845,5.3635173
-2.2931628,9.435676
4.0613985,7.7504416
3.940835,2.5147595
6.8785915,3.480623
6.419857,3.7787423
3.2202768,6.0056424
5.399323,3.886411
3.9660184,2.639637
6.7309613,4.5291934
3.8744185,7.9370766
2.8746705,8.001333
7.7675123,3.8514268
3.9567976,2.5673165
7.741743,3.8190064
1.7679294,8.693767
3.341337,9.027857
6.7641296,3.4744568
0.73556596,10.599627
6.872459,3.4632823
4.747932,6.5705676
5.37155,5.269341
2.5451293,7.775009
2.512048,6.9669933
7.6046176,3.4878936
2.5253806,3.3717854
-0.02201806,9.3863945
4.245278,6.9516206
6.5216665,3.5029433
4.769354,6.128931
4.2427416,6.5936027
2.4118686,7.544167
7.949076,3.9982588
7.1896133,3.3262954
6.839247,3.4416656
6.939559,3.3543487
5.4178476,5.2517757
7.1356196,3.297018
-0.07425656,9.437406
-0.081538394,7.947694
5.5793705,5.1367717
1.8851967,8.326516
3.4853992,3.987992
1.5288779,8.651761
1.1335746,7.2807913
1.6590703,9.064569
1.3394538,8.740585
1.3337008,7.8777876
3.6971993,3.717964
3.8790703,3.3562078
2.1985192,8.393898
1.5067304,9.502141
6.0374036,4.54309
4.5567923,7.638295
0.6464122,10.489905
0.94235176,10.254123
0.6421955,10.545874
7.61119,3.5647604
6.4759774,4.6732154
0.6779288,10.612237
0.6696813,10.389369
1.2733251,9.801723
4.534298,7.748315
6.2873583,5.9733315
4.524602,7.9749756
0.7040242,10.619786
0.6768707,10.398316
0.59059143,10.422652
0.6510479,10.586936
4.4688725,7.9711714
5.037382,6.1262574
6.882629,3.3697894
7.0024867,3.3407226
3.424921,8.001088
1.4796412,9.549253
5.504693,5.8057227
4.139647,7.7276497
5.2249207,5.225058
4.121709,7.9332476
0.9513448,10.002654
2.7130089,11.090848
2.7131598,11.088552
-2.359432,9.298046
-2.3595567,9.193678
5.5797453,5.397051
6.8854065,3.5821745
3.9732604,2.423016
-1.0824475,6.209101
3.8176665,3.4135866
3.9957528,2.4963439
-0.20794857,8.205341
3.2811232,3.4986336
1.1743852,11.248611
1.9463865,6.9181986
0.41138023,7.955443
0.42517972,8.0100765
4.0035357,7.656136
3.1337512,5.810957
2.4353821,9.56111
2.4495525,9.55628
4.0104284,2.4796214
7.2600403,3.6433723
7.1531844,3.6556373
3.4485745,3.5107956
4.921069,3.9705365
2.4964764,7.770082
3.1875997,8.221608
-0.25396174,8.196234
3.673783,2.951067
5.313752,3.7427135
-0.0227792,8.220661
6.431521,3.3870957
3.3373091,3.1322143
7.913754,4.1695795
7.6015105,3.775663
3.8707047,2.9397357
6.45534,4.53502
-0.019215634,8.243649
5.2266073,3.7871327
5.958776,3.4427307
1.7599764,8.546579
5.9071956,3.43464
-0.060662705,9.395006
2.5999866,9.790744
1.7326046,9.840172
2.4757738,9.449533
2.4940245,9.693706
2.6323934,9.811238
6.354769,5.853534
7.424575,3.2798288
-0.14912987,3.8737109
5.9528923,3.7922244
5.2747684,4.0019627
3.0900786,3.085104
2.7108107,8.338699
0.63216084,7.9241962
6.2694173,5.929324
6.611401,4.718043
6.5379376,4.6783
5.8496785,4.624509
5.932939,4.6735535
2.6107047,9.6981125
4.8802147,6.7809095
2.6776605,9.801594
7.931053,4.2127037
5.6022415,3.9798238
7.23343,3.2099977
2.546553,9.088765
2.6464114,10.849327
7.549382,3.7771916
6.3223233,4.013687
1.3713272,6.5401373
3.0601828,3.4698057
2.3021522,6.7861743
3.9770617,7.915698
1.8600746,4.887814
3.0121844,8.541765
1.5617372,9.499735
0.7594493,10.500424
1.2425076,11.141696
3.1497304,5.863734
5.1506443,6.5628633
2.5046258,4.768161
2.2140646,7.863013
3.0779164,5.744326
5.935927,5.7270236
2.6032588,8.261062
2.413621,4.6737013
4.8149257,6.5780616
7.7687144,3.8794885
2.5589538,5.375721
5.360849,4.291611
6.289995,4.584641
6.375483,3.718051
6.149293,3.4137764
6.0811324,5.7221503
6.3691463,3.8338795
7.4286423,3.3871891
6.6707187,4.7568927
3.6197674,5.5323825
6.046597,5.6215677
-0.86024565,5.3718944
2.9788442,6.8763075
3.3685944,3.689479
3.4303894,3.8311005
6.6696477,4.7628994
6.231492,4.402799
2.6883373,5.6482925
4.869916,6.5462976
5.8126783,4.597338
3.4342124,8.910324
3.3094494,8.819731
6.7652445,3.645729
6.489469,3.7198987
4.66393,7.1274676
7.8166556,3.8998563
0.90665436,7.0296993
1.1858807,3.56092
6.082557,4.31817
6.2629695,3.6044722
5.1987667,6.1777344
-0.22663635,4.0239916
7.293876,3.24599
6.247306,4.5267043
3.1640773,8.314167
2.5575545,4.2512593
5.416609,4.2021666
3.6326275,3.665649
4.002399,4.729862
4.9684315,4.0641623
3.631705,3.6430805
3.6097429,3.651791
3.529709,3.6490865
3.6057904,3.5918643
1.5853099,8.883485
6.0561194,5.7680364
2.532469,8.182409
1.4106036,8.406473
2.6064928,5.4164414
2.4973636,5.331334
2.6539054,5.5333476
0.821118,8.728396
1.240528,8.126666
2.6398795,8.104482
2.8156881,8.428392
2.8684404,8.006462
4.6098285,7.4764237
6.3298144,3.6831002
2.057575,8.5129385
6.4518557,4.8447285
5.1082053,6.178612
7.2862053,3.3914204
0.14126688,7.875762
7.97491,4.1011715
1.3999395,6.9629555
6.34028,4.681948
6.4563484,4.8846164
6.4517336,4.8809047
2.3339067,8.341476
2.712262,8.38061
5.695442,5.5641685
5.6623545,5.6570296
6.791551,4.5332904
5.8918495,4.518763
6.2690835,3.6669965
3.1374,7.682943
3.492909,7.9026833
3.8433223,7.721682
1.0772933,8.396474
3.1969311,5.8802805
1.2364448,10.9515505
0.45735237,7.2250085
1.7121557,6.266618
-1.1901559,5.2787666
2.9195802,6.8719673
3.5278416,9.067673
3.5364652,9.071262
3.4625943,3.774474
2.6546657,5.9119673
3.406456,8.988058
1.0769309,5.8906984
3.5387163,9.026232
2.4926,9.368969
3.4793947,2.9075675
3.5488484,9.078641
5.2144036,3.6319962
5.193555,3.657391
5.891048,3.4541476
7.4029036,3.2955816
5.9109936,3.4593778
6.04268,3.3314168
6.0389185,3.4224513
4.81803,4.420556
7.291042,3.2373445
6.340394,4.917485
7.6525207,3.5652192
1.6996049,9.415313
6.5150113,3.4847164
3.1465366,3.2615938
1.4607581,10.46311
2.510391,8.329093
1.8029372,6.3155937
4.6879416,7.000557
4.6238246,7.2376766
7.7954774,3.8630314
5.829827,3.5235221
5.984319,5.9213285
7.1461515,3.3130302
6.063216,5.8704777
4.9648275,6.0818186
1.6167498,6.82141
7.9322605,4.202804
1.4463248,6.3097415
3.0353837,8.071165
2.9387038,8.19055
4.6172204,7.493017
4.02467,4.0599318
7.2761955,3.2895384
7.3963532,3.3057182
4.6579323,6.7701893
6.0546565,5.5846534
2.8827066,8.126094
7.5916758,3.771718
1.0872545,8.647732
4.3187947,8.433824
6.953837,4.3906245
2.9877508,8.236498
1.0095524,8.429168
4.420097,7.7722936
1.0684558,8.366572
5.0315127,6.1838875
6.3667154,4.659031
0.071565084,4.371989
3.4336724,8.713466
4.3822474,4.811869
2.9834976,4.5176597
2.5834613,8.289223
3.5161366,8.886216
0.86469275,6.859449
1.8155811,9.218718
2.7050939,9.12334
2.7055345,9.157148
2.5505311,9.241797
2.7332988,9.093085
3.090107,9.01337
3.098128,8.628299
2.4280255,9.571305
3.558575,3.5518348
3.1528785,2.9895995
2.8175175,8.452529
2.455047,7.8753166
3.285746,6.147423
3.3804832,3.7044334
3.4791229,9.069835
-1.0779736,6.2089434
2.3930845,7.4394526
3.5274935,9.017914
-2.301138,9.341938
3.485519,9.006205
1.4005138,10.040588
2.4400663,9.582344
3.3951519,8.810928
3.2010086,8.256348
0.20588954,4.420836
3.2181926,4.9449887
3.8456187,7.7131405
2.6114078,9.778291
5.9622464,3.4256952
2.3463237,9.5878725
1.2481638,6.750695
1.2409251,6.029061
1.4636222,8.488436
3.0675974,8.200899
1.7560687,8.647149
1.6837238,8.6303215
-1.0922675,6.2314143
2.9767308,6.9263935
2.078258,6.5853825
1.5014585,9.455334
3.52697,7.0244536
1.9984257,4.916424
7.1553407,3.2563424
6.803176,4.5175624
3.0538318,6.9708257
-0.14899556,5.8082585
7.648262,3.5117357
3.1728015,8.210443
2.7413483,6.85865
3.135685,8.478614
3.474526,8.863078
3.839892,4.505919
1.8941989,8.835898
6.130004,3.3315234
6.1633654,3.2863076
6.1257052,3.28108
6.112153,3.374163
6.1079497,3.360019
6.3172174,4.1247153
3.50342,3.7220495
4.4588294,4.779385
3.1515126,3.1874535
1.1982511,10.171978
5.0555043,6.3366656
6.762444,4.512094
1.3882983,9.805278
1.8053514,9.024456
1.4305751,9.526841
5.146203,6.188567
3.5079882,3.6588948
5.9857287,5.7586513
2.9870944,8.264793
1.3580396,9.157745
2.6901655,11.073693
6.066031,3.3780003
2.4909143,8.00523
1.5996089,6.0304117
6.303219,5.8921084
4.707606,6.5518694
6.7736917,4.162083
7.434193,3.282605
2.6331058,8.201785
7.3569493,3.332984
5.771161,5.570697
6.637877,4.8232846
6.6261997,4.831636
3.1033266,7.7725463
6.6222916,4.8618474
5.3847694,5.8110933
6.7382426,4.8240833
7.800408,4.3660135
3.143942,7.7800183
1.2628604,10.026216
1.3483106,9.997579
1.085043,9.068862
1.2653853,9.939234
1.4702976,9.562458
3.1247032,8.251217
3.1367836,8.423329
5.9662495,5.825671
1.561291,8.238053
6.131063,5.8913364
2.2586796,7.5845
5.7783165,5.5461907
4.66819,6.753296
-0.8619393,5.369355
7.4611154,3.2613242
-1.4303418,5.1508865
-1.4018878,5.1496654
5.1626725,4.244291
5.2346997,4.1622486
3.2309513,4.017198
1.2550309,10.091729
6.883219,3.381575
4.5979056,6.770887
6.425326,4.8701773
-0.3396212,5.877808
5.6431518,5.355217
1.2704185,6.741853
2.1942267,9.601986
1.9235083,8.628732
2.0864768,7.126815
