UMAP_1,UMAP_2
2.1581771,6.532202
-0.5558352,9.377101
1.7225013,6.56371
1.8891727,4.9676304
2.7746673,5.000684
-0.5997991,9.382947
1.7235764,7.9920583
1.0468315,8.321273
7.1303353,8.618735
6.4932837,7.731499
7.2229285,7.9851336
6.7330933,5.278065
-0.103885055,6.7264805
0.29001877,7.472803
8.662853,9.247496
1.9082725,6.2731047
-0.8606131,3.0394394
2.5901246,9.23093
5.41568,8.116283
7.594052,4.932978
8.6320715,8.276633
8.760045,8.158379
7.482164,5.0359898
6.8643994,9.304154
7.0755987,9.004007
8.5154915,9.372695
-0.5812232,3.2591279
-0.53575796,3.331477
8.966685,9.141778
1.4470146,6.1371408
8.923772,9.24113
-0.50972474,6.231562
3.15,9.150265
2.9963653,7.914477
8.895061,9.0776005
2.745574,7.116576
5.093753,5.063069
2.9616134,8.73064
2.4679632,8.377132
8.854904,8.632341
8.847017,8.597638
2.5943692,8.586329
2.247365,7.8371477
-0.5083901,9.334227
2.2871723,6.503867
6.6056175,9.836229
6.8236146,5.017872
2.6475215,7.8926625
5.910613,5.431307
0.8389496,7.445711
7.846304,9.020211
8.847148,7.7966533
-0.49321365,6.186514
-0.52781117,6.222019
1.310744,7.453479
8.249209,9.280077
-0.5271037,6.1969657
2.8462286,9.405451
7.5534244,8.913151
-0.51551896,6.209068
-0.47729862,6.262209
-0.5253478,6.196042
2.6934156,9.3738
8.668334,8.311644
7.218185,8.602261
3.135506,8.697286
0.7569554,7.3536506
7.179668,8.6489105
7.1722097,9.110797
-0.6232,3.2450228
3.0159729,9.390269
-0.94260013,6.819297
-0.033632174,7.7522902
-0.048785534,7.7655635
-0.50305295,9.639917
-0.5457825,9.619837
-0.53470796,9.638215
7.1761837,8.640808
7.136921,8.663274
7.501176,4.84987
7.3240867,5.1761384
7.5530367,4.925823
2.1091743,8.132281
6.3339157,5.144698
6.9264417,5.128757
2.8613787,8.403988
3.9791179,6.571576
3.0370007,9.298308
2.176444,7.233408
2.2530408,7.358289
2.922891,8.22659
1.4793092,8.991696
1.4682727,8.983512
7.495001,4.8853993
6.476598,5.738145
8.199662,8.1964035
2.177038,6.3465285
6.8383336,5.1338077
6.596954,5.2959642
2.2251327,5.4111676
2.072932,8.1507435
2.1097257,8.179564
8.354082,7.3486843
8.891757,7.4783735
8.968814,7.4849596
9.229665,7.5615525
2.3031306,8.121895
8.785971,7.4375257
8.76566,7.4443398
8.692394,8.398219
8.792748,7.4626045
8.929481,9.092186
8.798876,7.7697263
2.2890966,8.170363
8.92472,7.523128
9.178368,7.456137
9.218488,7.526653
5.4062138,8.101597
6.5773125,9.874238
0.18203025,7.6788893
1.569765,8.867079
0.9686117,8.393405
6.6362996,9.807972
7.090372,9.461467
8.844373,9.111533
8.905317,8.895932
7.6634884,8.756511
8.974166,7.5510583
9.27184,7.628203
9.238917,7.6150584
6.534022,5.549397
2.782661,8.314604
6.7627587,9.61038
2.270352,7.082671
8.247829,9.325983
8.268871,9.29329
7.657086,8.930773
0.94961774,8.319414
1.0197905,8.364821
8.776165,7.485532
6.606218,9.855764
0.83739644,7.9234786
1.0043616,8.436292
6.615753,9.8356695
6.604465,9.836127
6.742119,9.650936
6.6015887,9.825612
8.821027,9.420127
9.12609,7.4082484
8.935304,9.081619
1.027493,8.010354
3.4614925,7.56266
2.5018563,8.780137
